Input/Output,Unit,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
diesel,MJ/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electricity(input),kwh/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_input,MJ/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nature gas,MJ/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electricity(output),kwh/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_output,MJ/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
briquette fuel,t/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biochar,t/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioethanol,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biogas,MJ/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH3(gas),kg/tBR,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0,0,0,0,0,0,0,0,5.7758,5.7758,5.7758,0,0,0,0
NH3-N,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2,kg/tBR,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134,1549.752726,1015.801892,340.0447649,747.733944,394.4996613,134.8026013,894.811032,844.3325268,193.042043,274.1938011,1243.924646,1714.317649,894.811032,412.371134
CO,kg/tBR,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058,79.54113113,91.97588309,49.65893987,52.3455581,65.83043034,54.90261814,49.23,0.0000733,0.222125794,0.345869268,0,72.14007216,49.23,1.718213058
H2S,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,kg/tBR,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0,3.67,3.67,3.725853143,3.67,3.698651095,3.67,3.67,8.9344,9.241395518,8.9344,0,0,3.67,0
NO3N,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx,kg/tBR,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142,5.262698353,4.039734979,5.126952106,3.819244648,3.752473939,3.632336463,5.036752104,1.384195268,0.88092069,1.255448479,2.039010503,0.792748046,5.036752104,1.249055142
N2O,kg/tBR,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,0,0,0.96,0
NMHC(Hydrocarbon),kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NMVOC,kg/tBR,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316,0.45799786,0.645885596,3.97E-06,0.36694351,0.250832412,0.085712637,0,0.0000139,0.042122266,0.0000139,0,1.090028563,0,0.202367316
PM10,kg/tBR,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628,11.38756886,11.3958856,10.76896252,10.76730866,11.00083047,10.83571264,10.94372198,0.182779849,0,0.015287822,0.269303274,1.090028563,10.94372198,0.009545628
PM2.5,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PO4-,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,kg/tBR,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0.314,0,0,0,0
TP,kg/tBR,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0.179,0,0,0,0
SO2,kg/tBR,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268,5.068542501,5.092747322,1.100068395,1.110385194,2.650624499,1.629859936,2.326905848,1.157775408,0.514257051,0.0001697,1.705587402,6.738358389,2.326905848,0.069247268