Input/Output,Unit,CHP_CR_ssp445_LUMI_2025,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2030,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2035,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2040,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2045,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2050,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2055,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp445_LUMI_2060,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
diesel,MJ/tBR,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264
electricity(input),kwh/tBR,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0
heat_input,MJ/tBR,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0
nature gas,MJ/tBR,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
electricity(output),kwh/tBR,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0
heat_output,MJ/tBR,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0
briquette fuel,MJ/tBR,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0
biochar,t/tBR,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0
bioethanol,MJ/tBR,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426
biogas,MJ/tBR,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0
NH3(gas),kg/tBR,0,0,0,0,0,0,0,3.931533341,0.331876665,3.931533341,0,0,0,0,0,0,0,0,0,0,0,3.784767773,0.319487588,3.784767773,0,0,0,0,0,0,0,0,0,0,0,3.600540009,0.303936176,3.600540009,0,0,0,0,0,0,0,0,0,0,0,3.3928,0.2864,3.3928,0,0,0,0,0,0,0,0,0,0,0,3.185059991,0.268863824,3.185059991,0,0,0,0,0,0,0,0,0,0,0,3.000832227,0.253312412,3.000832227,0,0,0,0,0,0,0,0,0,0,0,2.854066659,0.240923335,2.854066659,0,0,0,0,0,0,0,0,0,0,0,2.746815837,0.231869858,2.746815837,0,0,0,0
NH3-N,kg/tBR,0,0,2.163687531,0,0,0,0,0,0,0,0,0,0,0,0,0,2.082916289,0,0,0,0,0,0,0,0,0,0,0,0,0,1.981528032,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8672,0,0,0,0,0,0,0,0,0,0,0,0,0,1.752871968,0,0,0,0,0,0,0,0,0,0,0,0,0,1.651483711,0,0,0,0,0,0,0,0,0,0,0,0,0,1.570712469,0,0,0,0,0,0,0,0,0,0,0,0,0,1.511687848,0,0,0,0,0,0,0,0,0,0,0
CO2,kg/tBR,43.68164373,70.65357548,36.84479902,8.98,231.467,0,111.0850528,25.27166642,29.81791321,28.78816852,18.082,11.2680471,111.0850528,118.482,42.05099209,68.01605183,35.46936928,8.98,231.467,0,106.9382074,24.32826592,28.70479967,27.71349572,18.082,10.84740681,106.9382074,118.482,40.00411347,64.70529517,33.74285845,8.98,231.467,0,101.7328717,23.14406063,27.30756176,26.36451063,18.082,10.31939727,101.7328717,118.482,37.696,60.972,31.796,8.98,231.467,0,95.8632,21.80872,25.732,24.84336,18.082,9.724,95.8632,118.482,35.38788653,57.23870483,29.84914155,8.98,231.467,0,89.99352832,20.47337937,24.15643824,23.32220937,18.082,9.128602732,89.99352832,118.482,33.34100791,53.92794817,28.12263072,8.98,231.467,0,84.78819263,19.28917408,22.75920033,21.97322428,18.082,8.600593191,84.78819263,118.482,31.71035627,51.29042452,26.74720098,8.98,231.467,0,80.64134724,18.34577358,21.64608679,20.89855148,18.082,8.179952897,80.64134724,118.482,30.51873667,49.36302028,25.74208805,8.98,231.467,0,77.61098678,17.65637157,20.83266479,20.11322055,18.082,7.872564607,77.61098678,118.482
CO,kg/tBR,0.021321685,0.17798972,0.257714282,0.884,0,31.50603446,0.157595064,0.328168546,0.037081192,0.328168546,0.109,37.32314639,0.157595064,1.564,0.020525739,0.171345299,0.248093714,0.884,0,30.32990274,0.151711983,0.315917895,0.035696937,0.315917895,0.109,35.92985977,0.151711983,1.564,0.019526626,0.163004877,0.236017478,0.884,0,28.85356113,0.144327235,0.300540241,0.033959349,0.300540241,0.109,34.18093405,0.144327235,1.564,0.0184,0.1536,0.2224,0.884,0,27.1888,0.136,0.2832,0.032,0.2832,0.109,32.2088,0.136,1.564,0.017273374,0.144195123,0.208782522,0.884,0,25.52403887,0.127672765,0.265859759,0.030040651,0.265859759,0.109,30.23666595,0.127672765,1.564,0.016274261,0.135854701,0.196706286,0.884,0,24.04769726,0.120288017,0.250482105,0.028303063,0.250482105,0.109,28.48774023,0.120288017,1.564,0.015478315,0.12921028,0.187085718,0.884,0,22.87156554,0.114404936,0.238231454,0.026918808,0.238231454,0.109,27.09445361,0.114404936,1.564,0.014896667,0.124354784,0.180055365,0.884,0,22.0120922,0.110105799,0.229279134,0.025907247,0.229279134,0.109,26.07629154,0.110105799,1.564
H2S,kg/tBR,0,0,0.00092703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000892423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000848984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000751016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000707577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647681,0,0,0,0,0,0,0,0,0,0,0
CH4,kg/tBR,0.002781089,0.030591983,1.546100285,0.4339,0.008,16.5799278,2.900676214,4.377434671,2.631837575,8.747453103,0.002,0.029664953,2.900676214,0.031,0.00267727,0.029449973,1.488383799,0.4339,0.008,15.96099307,2.792392917,4.214023443,2.533590122,8.420907499,0.002,0.02855755,2.792392917,0.031,0.002546951,0.028016463,1.415935069,0.4339,0.008,15.18407406,2.656470099,4.008901185,2.410264817,8.0110105,0.002,0.027167479,2.656470099,0.031,0.0024,0.0264,1.33424,0.4339,0.008,14.308,2.5032,3.7776,2.2712,7.5488,0.002,0.0256,2.5032,0.031,0.002253049,0.024783537,1.252544931,0.4339,0.008,13.43192594,2.349929901,3.546298815,2.132135183,7.0865895,0.002,0.024032521,2.349929901,0.031,0.00212273,0.023350027,1.180096201,0.4339,0.008,12.65500693,2.214007083,3.341176557,2.008809878,6.676692501,0.002,0.02264245,2.214007083,0.031,0.002018911,0.022208017,1.122379715,0.4339,0.008,12.0360722,2.105723786,3.177765329,1.910562425,6.350146897,0.002,0.021535047,2.105723786,0.031,0.001943044,0.021373479,1.080202653,0.4339,0.008,11.5837777,2.026594377,3.058350479,1.838766838,6.111519509,0.002,0.020725797,2.026594377,0.031
NO3N,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx,kg/tBR,0.632234317,0.356906469,0.508012325,2.664,1.109,0.635942436,2.21096605,0.155741005,0.506158266,0.155741005,1.313,0.439412121,2.21096605,2.94,0.60863278,0.343583021,0.48904804,2.664,1.109,0.612202474,2.128429884,0.149927136,0.487263194,0.149927136,1.313,0.423008707,2.128429884,2.94,0.579006906,0.326858737,0.465243085,2.664,1.109,0.58240284,2.024826202,0.142629267,0.463545118,0.142629267,1.313,0.402418289,2.024826202,2.94,0.5456,0.308,0.4384,2.664,1.109,0.5488,1.908,0.1344,0.4368,0.1344,1.313,0.3792,1.908,2.94,0.512193094,0.289141263,0.411556915,2.664,1.109,0.51519716,1.791173798,0.126170733,0.410054882,0.126170733,1.313,0.355981711,1.791173798,2.94,0.48256722,0.272416979,0.38775196,2.664,1.109,0.485397526,1.687570116,0.118872864,0.386336806,0.118872864,1.313,0.335391293,1.687570116,2.94,0.458965683,0.259093531,0.368787675,2.664,1.109,0.461657564,1.60503395,0.113058995,0.367441734,0.113058995,1.313,0.318987879,1.60503395,2.94,0.441718557,0.24935725,0.354929281,2.664,1.109,0.444309282,1.544719588,0.108810436,0.353633918,0.108810436,1.313,0.307000874,1.544719588,2.94
N2O,kg/tBR,0,0,0.305919831,0.42,0.0006,0,0,0,0,0,0.0179,0.000278109,0,0.019,0,0,0.294499732,0.42,0.0006,0,0,0,0,0,0.0179,0.000267727,0,0.019,0,0,0.280164632,0.42,0.0006,0,0,0,0,0,0.0179,0.000254695,0,0.019,0,0,0.264,0.42,0.0006,0,0,0,0,0,0.0179,0.00024,0,0.019,0,0,0.247835368,0.42,0.0006,0,0,0,0,0,0.0179,0.000225305,0,0.019,0,0,0.233500268,0.42,0.0006,0,0,0,0,0,0.0179,0.000212273,0,0.019,0,0,0.222080169,0.42,0.0006,0,0,0,0,0,0.0179,0.000201891,0,0.019,0,0,0.213734786,0.42,0.0006,0,0,0,0,0,0.0179,0.000194304,0,0.019
NMHC(Hydrocarbon),kg/tBR,0.075089413,0.014832477,0,0.321,0,2.765329865,0.173354571,0,0,0,0.031,0.019467626,0.173354571,0.977,0.072286298,0.014278775,0,0.321,0,2.662099096,0.166883182,0,0,0,0.031,0.018740892,0.166883182,0.977,0.068767682,0.01358374,0,0.321,0,2.532518474,0.158759958,0,0,0,0.031,0.017828658,0.158759958,0.977,0.0648,0.0128,0,0.321,0,2.3864,0.1496,0,0,0,0.031,0.0168,0.1496,0.977,0.060832318,0.01201626,0,0.321,0,2.240281526,0.140440042,0,0,0,0.031,0.015771342,0.140440042,0.977,0.057313702,0.011321225,0,0.321,0,2.110700904,0.132316818,0,0,0,0.031,0.014859108,0.132316818,0.977,0.054510587,0.010767523,0,0.321,0,2.007470135,0.125845429,0,0,0,0.031,0.014132374,0.125845429,0.977,0.052462175,0.010362899,0,0.321,0,1.932032927,0.121116379,0,0,0,0.031,0.013601305,0.121116379,0.977
NMVOC,kg/tBR,0,0.019467626,7.397697728,0.01,0,0,0,0.245662894,0,0.245662894,0.026,5.61965459,0,0,0,0.018740892,7.121538983,0.01,0,0,0,0.236492209,0,0.236492209,0.026,5.409870841,0,0,0,0.017828658,6.774890185,0.01,0,0,0,0.224980689,0,0.224980689,0.026,5.146539386,0,0,0,0.0168,6.384,0.01,0,0,0,0.212,0,0.212,0.026,4.8496,0,0,0,0.015771342,5.993109815,0.01,0,0,0,0.199019311,0,0.199019311,0.026,4.552660614,0,0,0,0.014859108,5.646461017,0.01,0,0,0,0.187507791,0,0.187507791,0.026,4.289329159,0,0,0,0.014132374,5.370302272,0.01,0,0,0,0.178337106,0,0.178337106,0.026,4.07954541,0,0,0,0.013601305,5.168495727,0.01,0,0,0,0.17163551,0,0.17163551,0.026,3.926243245,0,0
PM10,kg/tBR,0.038008221,0.184478928,12.94597102,0.972,0,0.897364837,3.624686481,0.00185406,0,0.00185406,0.016,1.610250746,3.624686481,0.156,0.036589361,0.177592263,12.46269322,0.972,0,0.863865882,3.489375617,0.001784847,0,0.001784847,0.016,1.5501395,3.489375617,0.156,0.034808333,0.168947763,11.85605782,0.972,0,0.821816253,3.319526394,0.001697967,0,0.001697967,0.016,1.474684743,3.319526394,0.156,0.0328,0.1592,11.172,0.972,0,0.7744,3.128,0.0016,0,0.0016,0.016,1.3896,3.128,0.156,0.030791667,0.149452237,10.48794218,0.972,0,0.726983747,2.936473606,0.001502033,0,0.001502033,0.016,1.304515257,2.936473606,0.156,0.029010639,0.140807737,9.88130678,0.972,0,0.684934118,2.766624383,0.001415153,0,0.001415153,0.016,1.2290605,2.766624383,0.156,0.027591779,0.133921072,9.398028976,0.972,0,0.651435163,2.631313519,0.00134594,0,0.00134594,0.016,1.168949254,2.631313519,0.156,0.026554928,0.128888553,9.044867522,0.972,0,0.626955371,2.53243337,0.001295362,0,0.001295362,0.016,1.12502219,2.53243337,0.156
PM2.5,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0.260495371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250770984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238564429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211035571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198829016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189104629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181998408,0,0
PO4-,kg/tBR,0,0,0,0,0,0,0,0.114951694,0,0.114951694,0,0,0,0,0,0,0,0,0,0,0,0.110660506,0,0.110660506,0,0,0,0,0,0,0,0,0,0,0,0.105273983,0,0.105273983,0,0,0,0,0,0,0,0,0,0,0,0.0992,0,0.0992,0,0,0,0,0,0,0,0,0,0,0,0.093126017,0,0.093126017,0,0,0,0,0,0,0,0,0,0,0,0.087739494,0,0.087739494,0,0,0,0,0,0,0,0,0,0,0,0.083448306,0,0.083448306,0,0,0,0,0,0,0,0,0,0,0,0.080312465,0,0.080312465,0,0,0,0
TN,kg/tBR,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
TP,kg/tBR,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0
SO2,kg/tBR,0.009270298,0.037081192,0.847119823,3.665,0.053,1.003046233,5.348034861,0.062110996,0.249371014,0.062110996,0.005,0.056548817,5.348034861,0.026,0.008924234,0.035696937,0.815496532,3.665,0.053,0.965602153,5.148390776,0.05979237,0.240061903,0.05979237,0.005,0.054437829,5.148390776,0.026,0.008489837,0.033959349,0.775801335,3.665,0.053,0.918600399,4.897787153,0.05688191,0.228376624,0.05688191,0.005,0.051788008,4.897787153,0.026,0.008,0.032,0.73104,3.665,0.053,0.8656,4.6152,0.0536,0.2152,0.0536,0.005,0.0488,4.6152,0.026,0.007510163,0.030040651,0.686278665,3.665,0.053,0.812599601,4.332612847,0.05031809,0.202023376,0.05031809,0.005,0.045811992,4.332612847,0.026,0.007075766,0.028303063,0.646583468,3.665,0.053,0.765597847,4.082009224,0.04740763,0.190338097,0.04740763,0.005,0.043162171,4.082009224,0.026,0.006729702,0.026918808,0.614960177,3.665,0.053,0.728153767,3.882365139,0.045089004,0.181028986,0.045089004,0.005,0.041051183,3.882365139,0.026,0.006476812,0.025907247,0.591851052,3.665,0.053,0.700791025,3.736472663,0.043394638,0.174226234,0.043394638,0.005,0.039508551,3.736472663,0.026